part number,part name,section name,section number,slide_ref,section_slide_number,slide name,part_slide number,date,abbreviation
1,A to B,Bar Counting,10.0,10.1,1.0,"Bear Flag: Variations, Rarely Perfect",55,22/4/26,
1,A to B,Bar Counting,10.0,10.2,2.0,"Bull Flag: Variations, Rarely Perfect",56,22/4/26,
1,A to B,Bar Counting,10.0,10.3,3.0,H1 and H2 B Setups: PB in Bull Trend or TR,57,11/16/17,
1,A to B,Bar Counting,10.0,10.4,4.0,High 3 Bull Flag: Wedge When Tilted Down,58,11/7/17,
1,A to B,Bar Counting,10.0,10.5,5.0,High 3 Bull Flag: Wedge or Triangle,59,3/27/18,
1,A to B,Bar Counting,10.0,10.6,6.0,Low 1 and Low 2 in Bear Trend or TR: S below Bear Bar,60,3/2/17,
1,A to B,Bar Counting,10.0,10.7,7.0,Triangle or Wedge in Bear: Low 3 Bear Flag,61,12/4/17,
1,A to B,Bar Counting,10.0,10.8,8.0,Consecutive Complex Bottoms: Two Legs Up Likely,62,1/29/18,
1,A to B,Bar Counting,10.0,10.9,9.0,Consecutive Low 2 Tops: Low 4 Top,63,4/11/18,
1,A to B,Bar Counting,10.0,10.1,10.0,"Consecutive Tops: Wedge, Then Low 2",64,19/12/20,
1,A to B,Bar Counting,10.0,10.11,11.0,Low 4: Expect 2 Legs and 10 Bars Sideways to Down,65,,
1,A to B,Bar Numbers,11.0,,,Bar Numbers,66,,Bar Numbers
1,A to B,Bar Numbers,11.0,11.1,1.0,Odds of a New H or L: Decrease Later in Day,67,19/6/27,
1,A to B,Bar Numbers,11.0,11.2,2.0,Big Bear Bar Closing on its L: 30% Chance it Will Be the H,68,19/4/17,
1,A to B,Bar Numbers,11.0,11.3,3.0,BO below 1 st 18 Bars: Probably No New H Today,69,9/17/18,
1,A to B,Bar Numbers,11.0,11.4,4.0,BO of 18 Bar Range: Only 10% Chance of Opposite BO,70,19/7/18,
1,A to B,Bar Numbers,11.0,11.5,5.0,Bar 39: Midday Reversal Down from Wedge Top,71,8/18/17,
1,A to B,Bar Numbers,11.0,11.6,6.0,"Midday Reversal Up: Here, Bar 41",72,20/7/31,
1,A to B,"Big Down, Big Up",12.0,,,"Big Down, Big Up",73,,BDBU
1,A to B,"Big Down, Big Up",12.0,12.1,1.0,"Big Down, Big Up: 1 st One Failed to Create TR",74,11/9/17,
1,A to B,"Big Down, Big Up",12.0,12.2,2.0,"Big Down, Big Up: Big Confusion, so TR Most Likely",75,8/16/16,
1,A to B,"Big Down, Big Up",12.0,12.3,3.0,"Big Up, Big Down: Big Confusion and Trading Range",76,22/12/1,
1,A to B,"Big Down, Big Up",12.0,12.4,4.0,"Big Down, Big Up: Big Confusion and Trading Range",77,23/3/1,
1,A to B,"Big Down, Big Up",12.0,12.5,5.0,"Big Down, Big Up: Closed Near Open and Was Doji Day",78,12/1/17,
1,A to B,"Big Down, Big Up, Big Down",13.0,,,"Big Down, Big Up, Big Down",79,,BDUD
1,A to B,"Big Down, Big Up, Big Down",13.0,13.1,1.0,Bear Trend Resumption: After Reversal up from S Climax,80,21/1/15,
1,A to B,"Big Down, Big Up, Big Down",13.0,13.2,2.0,Bear Trend Resumption: After Rally to New H,81,20/1/29,
1,A to B,"Big Down, Big Up, Big Down",13.0,13.3,3.0,Trend Reversal Down: After Trend Reversal Up,82,19/2/13,
1,A to B,"Big Down, Big Up, Big Down",13.0,13.4,4.0,Deep PB: Below Bottom of Bull Trend Reversal,83,9/4/18,
1,A to B,"Big Down, Big Up, Big Down",13.0,13.5,5.0,Trend Resumption Down: Bull Channel Was Bear Flag,84,19/3/7,
1,A to B,"Big Down, Big Up, Big Down",13.0,13.6,6.0,Deep PB: To above Top of Bear BO,85,19/3/25,
1,A to B,"Big Down, Big Up, Big Down",13.0,13.7,7.0,S The Close: Deep PB so TR Day Likely,86,4/26/17,
1,A to B,"Big Down, Big Up, Big Down",13.0,13.8,8.0,Trend Resumption Down: After Weak Bull Channel and DT,87,7/6/17,
1,A to B,Big Round Number,14.0,,,Big Round Number,88,,Big Round Number
1,A to B,Big Round Number,14.0,14.1,1.0,Big Round Number: Resistance in Bull Trend,89,11/21/18,
1,A to B,Big Round Number,14.0,14.2,2.0,Big Round Number: Rally Evolved into Trading Range,90,23/11/7,
1,A to B,Big Round Number,14.0,14.3,3.0,Big Round Number: Reversed Down,91,5/9/17,
1,A to B,Big Round Number,14.0,14.4,4.0,Big Round Number: Resistance,92,25/8/27,
1,A to B,Big Round Number,14.0,14.5,5.0,Big Round Number: Support in Futures Market,93,22/7/21,
1,A to B,Big Round Number,14.0,14.6,6.0,Big Round Number: Support in Forex Market,94,22/7/21,
1,A to B,Big Round Number,14.0,14.7,7.0,Big Round Number: Support in Stock Market,95,22/7/21,
1,A to B,Big Round Number,14.0,14.8,8.0,Big Round Number: Support in Stock Market,96,22/7/21,
1,A to B,Big Round Number,14.0,14.9,9.0,Support and Resistance on Daily Chart: 4000 Big Round Number,97,23/3/8,
1,A to B,Big Round Number,15.0,,,Big Round Number,98,,BL began before BR ended
1,A to B,Big Round Number,15.0,15.1,1.0,Bull Trend: Began before Bear Trend Ended,99,18/12/3,
1,A to B,Big Round Number,15.0,15.2,2.0,Bull Channel: 1 st Leg Up Formed before End of Bear Trend,100,20/12/7,
1,A to B,Big Round Number,15.0,15.3,3.0,Bull Trend Began before Bear Trend Ended,101,24/1/2,
1,A to B,Big Round Number,15.0,15.4,4.0,Bear Flag: 1 st Leg Up Began before End of Bear Trend,102,20/4/17,
1,A to B,Bear BO of 18 Bar Range,16.0,,,Bear BO of 18 Bar Range,103,,BO 18 D
1,A to B,Bear BO of 18 Bar Range,16.0,16.1,1.0,Early H or L of Day: Every New Bar Increases Probability,104,10/29/18,
1,A to B,Bear BO of 18 Bar Range,16.0,16.2,2.0,"Small Range: If 5 Points or Less, Expect BO",105,7/27/17,
1,A to B,Bear BO of 18 Bar Range,16.0,16.3,3.0,18 Bars: Big Bear Reversal Day,106,12/5/17,
1,A to B,Bear BO of 18 Bar Range,16.0,16.4,4.0,"2 nd Leg Trap Down: Failed, Got Trend Resumption Down",107,12/4/17,
1,A to B,Bear BO of 18 Bar Range,16.0,16.5,5.0,18 Bar Range: Sell Strong Reversal Down from Top,108,10/30/17,
1,A to B,Bear BO of 18 Bar Range,16.0,16.6,6.0,BOM on Open: S BO below Reversal Up for MM Down,109,4/19/17,
1,A to B,Bear BO of 18 Bar Range,16.0,16.7,7.0,18 Bars: Broad Bear Channel,110,9/17/18,
1,A to B,Bear BO of 18 Bar Range,16.0,16.8,8.0,Failed BO below 18 Bar Range: Bear Trend Resumption,111,19/4/16,
1,A to B,Bear BO of 18 Bar Range,16.0,16.9,9.0,BO below 18 Bar Range: S BO and S PB,112,12/14/17,
1,A to B,Bear BO of 18 Bar Range,16.0,16.1,10.0,Reversal Up at Bar 18: Strong Selloff so Minor Reversal,113,9/6/18,
1,A to B,Bear BO of 18 Bar Range,16.0,16.11,11.0,Reversal Down Around Bar 18: S for Possible H of Day,114,8/1/18,
1,A to B,Bear BO of 18 Bar Range,16.0,16.12,12.0,BO of 18 Bar Range: Also BO Mode S,115,4/12/17,
1,A to B,Bear BO of 18 Bar Range,16.0,16.13,13.0,BO below 18 Bar Range: Trading Range,116,9/10/18,
1,A to B,Bear BO of 18 Bar Range,16.0,16.14,14.0,"BO below 18 Bar Range: Strong Rally, Then New L",117,8/30/18,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,,,Failed Bear BO of 18 Bar Range,118,,BO 18 D F
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.1,1.0,Buy The Close: Deep PB so TR Day Likely,119,8/1/17,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.2,2.0,Failed BO below 18 Bar Range: Possible L of Day,120,19/2/11,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.3,3.0,Failed BO below 18 Bar Range: TR Day,121,20/5/26,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.4,4.0,Late BO below 18 Bar Range: Reversed Up,122,7/10/18,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.5,5.0,BO below 18 Bar Range: After Test of H of Range,123,19/7/11,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.6,6.0,Failed BO below 18 Bar Range: Bear Trend Resumption,124,19/4/16,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.7,7.0,"BO below 18 Bar Range: Strong Rally, Then New L",125,8/30/18,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.8,8.0,Surprise BO: Leg Down,126,1/5/17,
1,A to B,Failed Bear BO of 18 Bar Range,17.0,17.9,9.0,BO below 18 Bar Range: 1 Tick Failed BO,127,5/24/18,
1,A to B,BO below Then above 18 Bar Range,18.0,,,BO below Then above 18 Bar Range,128,,BO 18 D U
1,A to B,BO below Then above 18 Bar Range,18.0,18.1,1.0,BO below 18 Bar Range: Reversed Up to above 18 Bar Range,129,19/7/18,
1,A to B,BO below Then above 18 Bar Range,18.0,18.2,2.0,Failed BO below 18 Bar Range: Then BO Above,130,20/7/31,
1,A to B,BO below Then above 18 Bar Range,18.0,18.3,3.0,Failed BO below 18 Bar Range: Then Failed BO Above,131,20/7/22,
1,A to B,BO below Then above 18 Bar Range,18.0,18.4,4.0,"BO below 18 Bar Range: Failed, Then BO above",132,20/7/1,
1,A to B,BO below Then above 18 Bar Range,18.0,18.5,5.0,Failed BO below 18 Bar Range: Huge BO Above,133,18/12/27,
1,A to B,BO below Then above 18 Bar Range,18.0,18.6,6.0,Failed BO below 18 Bar Range: Reversed to BO Above,134,20/6/2,
1,A to B,BO below Then above 18 Bar Range,18.0,18.7,7.0,"18 Bars: Reversed Up, Got Bull BO",135,18/12/6,
1,A to B,BO below Then above 18 Bar Range,18.0,18.8,8.0,BO Far below 18 Bar Range: Reversal Up to above Range,136,19/4/30,
1,A to B,BO below Then above 18 Bar Range,18.0,18.9,9.0,Small 18 Bar Range: Probable BO and MM Up or Down,137,10/3/17,
1,A to B,BO below Then above 18 Bar Range,18.0,18.1,10.0,Failed BO below 18 Bar Range: Late BO to New H,138,19/2/15,
1,A to B,BO below Then above 18 Bar Range,18.0,18.11,11.0,BO below 18 Bar Range: BO below and then Above,139,19/3/18,
1,A to B,BO below Then above 18 Bar Range,18.0,18.12,12.0,Failed BO below 18 Bar Range: Then BO above Range,140,20/1/17,
1,A to B,BO below Then above 18 Bar Range,18.0,18.13,13.0,BO below 18 Bar Range: Strong Reversal Up for L of Day,141,7/28/17,
1,A to B,BO below Then above 18 Bar Range,18.0,18.14,14.0,"BO below 18 Bar Range: Failed, Wedge Bottom",142,4/27/17,
1,A to B,BO below Then above 18 Bar Range,18.0,18.15,15.0,Big 18 Bar Range: More Likely TR Day,143,9/16/16,
1,A to B,BO below Then above 18 Bar Range,18.0,18.16,16.0,BO below 18 Bar Range: Reversal Up to New H,144,7/11/17,
1,A to B,BO below Then above 18 Bar Range,18.0,18.17,17.0,Failed BO below 18 Bar Range: Strong Wedge Bottom,145,19/11/22,
1,A to B,BO below Then above 18 Bar Range,18.0,18.18,18.0,18 Bars: Reversed Up,146,12/22/17,
1,A to B,BO below Then above 18 Bar Range,18.0,18.19,19.0,Failed BO below 18 Bar Range: The Failed BO above Range,147,19/4/2,
1,A to B,"BO of 18 Bar Range, below, above, and Back Below",19.0,,,"BO of 18 Bar Range, below, above, and Back Below",148,,BO 18 D U D
1,A to B,"BO of 18 Bar Range, below, above, and Back Below",19.0,19.1,1.0,"BO of 18 Bar Range: Below, above, and Then New L",149,19/10/8,
1,A to B,"BO of 18 Bar Range, below, above, and Back Below",19.0,19.2,2.0,"BO of 18 Bar Range: BO below, above, and Below",150,5/2/18,
1,A to B,"BO of 18 Bar Range, below, above, and Back Below",19.0,19.3,3.0,"BO of 18 Bar Range: Above, below, above, Then below Again",151,19/2/20,
1,A to B,"BO of 18 Bar Range, below, above, and Back Below",19.0,19.4,4.0,Failed BO below 18 Bar Range: BO,152,20/7/22,
1,A to B,Bull BO of 18 Bar Range,20.0,,,Bull BO of 18 Bar Range,153,,BO 18 U
1,A to B,Bull BO of 18 Bar Range,20.0,20.1,1.0,Test of L of 18 Bar Range: Reversal Up,154,5/9/18,
1,A to B,Bull BO of 18 Bar Range,20.0,20.2,2.0,Bar 18 Reversal: Reversed up at Bar 17,155,20/5/27,
1,A to B,Bull BO of 18 Bar Range,20.0,20.3,3.0,Reversal Up from Around Bar 18: Possible L of Day,156,6/6/18,
1,A to B,Bull BO of 18 Bar Range,20.0,20.4,4.0,BOM on Open: H or L in 1 st 18 Bars in 90% of Days,157,7/14/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.5,5.0,18 Bar BO: Reversal Attempt Failed and Became oo Bull Flag,158,20/6/3,
1,A to B,Bull BO of 18 Bar Range,20.0,20.6,6.0,BO above 1 st 18 Bars: Measured Move Up,159,1/8/18,
1,A to B,Bull BO of 18 Bar Range,20.0,20.7,7.0,F BO 18 Bar Range: Became High 1 Bull Flag,160,20/4/8,
1,A to B,Bull BO of 18 Bar Range,20.0,20.8,8.0,"B BO of 18 Bar Range: Gap Down, Then Outside Up Day",161,11/13/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.9,9.0,BO above 18 Bar Range: Deep PB,162,6/8/18,
1,A to B,Bull BO of 18 Bar Range,20.0,20.1,10.0,18 Bars: Bull Trend or TR Likely,163,5/22/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.11,11.0,BO above 18 Bar Range: After LL MTR,164,4/12/16,
1,A to B,Bull BO of 18 Bar Range,20.0,20.12,12.0,BO of 1 st 18 Bars: Often Goes Sideways,165,7/13/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.13,13.0,18 Bar BO: Small Day so Sideways Likely,166,10/31/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.14,14.0,18 Bar BO and BO Mode: B BO and PB,167,4/4/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.15,15.0,BOM on Open: H or L in 1 st 18 Bars in 90% of Days,168,8/21/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.16,16.0,18 Bar Range: Late Bull BO,169,19/3/29,
1,A to B,Bull BO of 18 Bar Range,20.0,20.17,17.0,"BO above 18 Bar Range: Failed, 8 Bars without Bull Body",170,9/19/18,
1,A to B,Bull BO of 18 Bar Range,20.0,20.18,18.0,BO above 18 Bar Range: Bear Reversal Day,171,9/27/18,
1,A to B,Bull BO of 18 Bar Range,20.0,20.19,19.0,BOM on Open: Many New Highs and Lows,172,6/8/17,
1,A to B,Bull BO of 18 Bar Range,20.0,20.2,20.0,BO of 18 Bar Range: TR Day Became Bull Trend Day,173,20/2/12,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,,,Failed Bull BO of 18 Bar Range,174,,BO 18 U F
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.1,1.0,"BO above 18 Bar Range: Failed, Then Deep PB",175,20/4/16,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.2,2.0,Bar 18 Reversal Up: Wedge Bottom,176,20/6/10,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.3,3.0,Failed BO above 18 Bar Range: S Reversal Down,177,19/6/7,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.4,4.0,Failed 18 Bar Range BO: S below Bear Bar Closing near L,178,19/6/18,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.5,5.0,"Gap Up: Reversal Down, Then TR",179,17/7/25,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.6,6.0,BO above 18 Bar Range: Failed,180,19/12/4,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.7,7.0,18 Bars: Failed,181,19/3/5,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.8,8.0,Late BO above 18 Bar Range: Failed,182,19/3/13,
1,A to B,Failed Bull BO of 18 Bar Range,21.0,21.9,9.0,"DB after 18 th Bar: Small Range Day, Late Failed BO",183,10/18/17,
1,A to B,BO above Then below 18 Bar Range,22.0,,,BO above Then below 18 Bar Range,184,,BO 18 U D
1,A to B,BO above Then below 18 Bar Range,22.0,22.1,1.0,Failed BO above 18 Bar Range: Got Bear BO,185,19/2/25,
1,A to B,BO above Then below 18 Bar Range,22.0,22.2,2.0,Bear BO and Follow-Through: MM Down,186,6/24/14,
1,A to B,BO above Then below 18 Bar Range,22.0,22.3,3.0,Failed BO above 18 Bar Range: BO Below,187,6/13/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.4,4.0,Failed BO 18-Bar Range: Up and Down,188,21/3/24,
1,A to B,BO above Then below 18 Bar Range,22.0,22.5,5.0,"18 Bar Range: BO above, and Then below after FOMC",189,2/21/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.6,6.0,BO above 18 Bar Range: Reversed and Broke Below,190,6/29/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.7,7.0,BO above 18 Bar Range: Then BO Below,191,19/6/10,
1,A to B,BO above Then below 18 Bar Range,22.0,22.8,8.0,Failed BO above 18 Bar Range: BO below Bottom,192,11/21/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.9,9.0,Failed BO above 18 Bar Range: Then BO Below,193,11/20/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.1,10.0,18 Bars: Reversed Down to New L,194,19/2/28,
1,A to B,BO above Then below 18 Bar Range,22.0,22.11,11.0,"BO above 18 Bar Range: Small Range, Got New L",195,10/12/17,
1,A to B,BO above Then below 18 Bar Range,22.0,22.12,12.0,BO of 18 Bar Range: Failed BO Up and Down,196,10/26/17,
1,A to B,BO above Then below 18 Bar Range,22.0,22.13,13.0,BO above 18 Bar Range: Reversal to New L,197,3/15/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.14,14.0,BO 18 Bar Range: Failed and Then Opposite BO,198,8/16/17,
1,A to B,BO above Then below 18 Bar Range,22.0,22.15,15.0,BO 18 Bar Range: Failed and Then Opposite BO,199,3/24/17,
1,A to B,BO above Then below 18 Bar Range,22.0,22.16,16.0,"18 Bars: Failed, Then BO Below",200,19/4/3,
1,A to B,BO above Then below 18 Bar Range,22.0,22.17,17.0,"BO above 18 Bar Range: Reversed Down, Broke Below",201,19/3/25,
1,A to B,BO above Then below 18 Bar Range,22.0,22.18,18.0,BO above 18 Bar Range: Reversed down and Got BO Below,202,19/10/11,
1,A to B,BO above Then below 18 Bar Range,22.0,22.19,19.0,Failed BO above 18 Bar Range: Reversed Down to New L,203,5/11/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.2,20.0,Failed BO above 18 Bar Range: Broke Below,204,9/14/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.21,21.0,"18 Bars: Failed, S New L of Day",205,12/13/17,
1,A to B,BO above Then below 18 Bar Range,22.0,22.22,22.0,Failed BO of 18 Bar Range: 2 nd Leg Trap,206,4/23/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.23,23.0,BO 18 Bar Range: Failed and Then Opposite BO,207,8/8/17,
1,A to B,BO above Then below 18 Bar Range,22.0,22.24,24.0,"BO of 18 Bar Range,",208,,
1,A to B,BO above Then below 18 Bar Range,22.0,22.25,25.0,"18 Bars: Above, below, and above Again",209,20/2/14,
1,A to B,BO above Then below 18 Bar Range,22.0,22.26,26.0,"Failed BO of 18 Bar Range: Then, BO below and Above",210,19/2/5,
1,A to B,BO above Then below 18 Bar Range,22.0,22.27,27.0,"18 Bar Range: BO above, below, and Back Above",211,6/12/18,
1,A to B,BO above Then below 18 Bar Range,22.0,22.28,28.0,New H Failed Twice: New L also Failed Twice,212,20/8/31,
1,A to B,No BO of 18 Bar Range,23.0,,,No BO of 18 Bar Range,213,,BO 18 No BO
1,A to B,No BO of 18 Bar Range,23.0,23.1,1.0,BO of 1 st 18 Bar Range: Did Not Happen for 2 Days,214,8/14/17,
1,A to B,No BO of 18 Bar Range,23.0,23.2,2.0,DB HL MTR: After HL Minor Reversal,215,8/15/18,
1,A to B,No BO of 18 Bar Range,23.0,23.3,3.0,"18 Bar Range: No BO, Reversed Up at Bar 17",216,19/1/8,
1,A to B,Breakout and Channel Bull Trend,24.0,,,Breakout and Channel Bull Trend,217,,BO and CH BL
1,A to B,Breakout and Channel Bull Trend,24.0,24.1,1.0,Breakout and Channel Bull Trend: After Bear Trap,218,25/3/31,
1,A to B,Breakout and Channel Bull Trend,24.0,24.2,2.0,Spike and Channel Bull Trend: Channel Was Small PB Bull Trend,219,23/4/13,
1,A to B,Breakout and Channel Bull Trend,24.0,24.3,3.0,Breakout and Channel Bull Trend: Then Bull Breakout,220,25/6/2,
1,A to B,Breakout and Channel Bull Trend,24.0,24.4,4.0,Spike and Channel Bull Trend: After Deep Pullback,221,23/12/8,
1,A to B,Breakout and Channel Bull Trend,24.0,24.5,5.0,Breakout and Channel Bull Trend: Bar 42 Midday Resumption Up,222,25/2/3,
1,A to B,Breakout and Channel Bull Trend,24.0,24.6,6.0,Breakout and Channel Bull Trend: After Bear Trap,223,25/2/5,
1,A to B,Breakout and Channel Bull Trend,24.0,24.7,7.0,Breakout and Channel Bull Trend: Buy Climax,224,25/5/19,
1,A to B,Breakout and Channel Bull Trend,24.0,24.8,8.0,Breakout and Channel Bull Trend: Then Minor Wedge Top,225,25/5/13,
1,A to B,Breakout and Channel Bull Trend,24.0,24.9,9.0,Spike and Channel: Channel Was Parabolic Wedge,226,24/3/12,
1,A to B,Breakout and Channel Bull Trend,24.0,24.1,10.0,Breakout and Channel Bull Trend: Deep Pullback from Breakout,227,25/2/11,
